concentration,1,2,3
0.00001844142803,1.006566467,1.013687436,1.022734569
0.00006768004086,1.12967126,1.124593372,1.057470048
0.0002483857499,1.053509132,1.065770573,1.075774677
0.0009115757023,1.041278679,1.04967841,1.014303542
0.003345482827,1.005936266,0.9240207645,1.071458732
0.01227792198,0.9407206318,0.9915597236,0.7329220138
0.04505997365,0.5284626056,0.5416534839,0.4164131519
0.1653701033,0.1115696731,0.07938789706,0.08889404127
0.6069082791,-0.02032679228,-0.05404841946,-0.05144242045
2.227353384,-0.05161070228,-0.05828744091,-0.0616989132
8.174386921,-0.04801320485,-0.05087749108,-0.05781974416
30,-0.06044384388,-0.05997609272,-0.07998544774
