concentration,1,2,3
0.0000369,1.040430483,0.979115765,0.9838859802
0.00013536,0.9903223386,1.018630123,0.9367576083
0.000496771,1.017626088,1.081299394,0.9140634739
0.001823151,0.8895124518,0.7990679962,0.8122964373
0.006690966,0.3840958716,0.5178997613,0.3888691413
0.024555844,-0.03353293413,-0.01537724551,-0.04258682635
0.090119947,-0.05251717676,-0.05741411618,-0.06875702686
0.330740207,-0.0547905353,-0.0546935609,-0.05556633049
1.213816558,-0.06117199156,-0.07022688687,-0.06966095591
4.454706769,-0.06677507344,-0.07207301721,-0.0725451112
16.34877384,-0.04810871201,-0.06069449828,-0.05896167263
60,-0.07523836741,-0.07503052662,-0.08552648671
